ArtikelNr;Bezeichnung;VKNetto1;EAN1
ANR0372061031;Tintenfisch;17,76;
4902820912210; Furikake shiso 30g;1,87;
4901326041325; Kasugai Watermelon Gummy Candy 113g;2,62;
4987035338727; Pocari Schweiß pulver 5-bag for 1L;15,42;
4997483400327; Urashima Furikake Nori Vege Nihon 50g;3,64;
8809137700812;10-Sort mixed rice 800g;8,6;
0087703312692;88 Seoul Topokki Cup;3,27;
8801019315404;Ace Cracker ;2,06;
8934563714048;Acecook Sapporo Miso Ramen 4-bags;3,27;
8934563681142;Acecook Shoyu Cup ;1,21;
8934563713041;Acecook Shoyu Ramen 4-bags;3,27;
8934563682156;Acecook Tonkotsu Cup;1,21;
8934563712044;Acecook Tonkotsu Ramen 4-bags;3,27;
0031977512906;Age ball 120g;2,8;
5905279248007;Ajinomoto Chicken Gyoza 600g;7,94;
8858639000456;Ajinomoto Chicken Gyoza 600g;8,88;
5901384599706;Ajinomoto chicken powder 250g;4,58;
8858639000098;Ajinomoto Goma Teba 1Kg;23,27;
5905279248014;Ajinomoto Pork Gyoza 600g;7,94;
0074410120115;AKA Umeboshi 227g;4,58;
8805957017451;Allgroo Jajang 1.15Kg;5,14;
4035458206489;Aokappa 200g;1,78;
4018905627754;Aro Tafelsalz 500g;0,93;
4018905311233;Aro Weizen-mehl typ 405;1,21;
4018905443095;Aro Zuker 1Kg;1,4;
8851613007274;Aroy-D 1+1 free;2,62;
0016229001711;Aroy-D coconut Mlik 400ml;2,62;
0081652800033;Assi Chik cold nudeln 1Kg;7,94;
0081652080688;Assi JJol-Myeon 420g;4,49;
0081652080664;Assi Mak Guk-Su 502g;5,14;
0081652080145;Assi only cold nudeln 680g;6,26;
0081652800026;Assi Pung Yang cold nudeln 1Kg;7,01;
0081652800019;Assi Sun cold nudeln 1Kg;7,01;
0081652041368;Assi Yuk-Su;0,93;
0081652034711;Assi, Black bean paste 1Kg;6,07;
0081652083085;Assi, Bong-Pung Soba nudeln 907g;3,27;
0081652071051;Assi, Dried Kelp 56g;2,34;
0081652094487;Assi, fullmoon Pung;5,14;
0081652081111;Assi, Jajang Nudeln 1.81Kg;5,89;
0081652081142;Assi, Jajang nudeln 907g;3,08;
0081652081180;Assi, Kalgukso 1.81Kg;6,07;
0081652081173;Assi, Kalguksu 907g;3,27;
0081652081104;Assi, Mak-Guksu 1.81Kg;5,89;
0081652081135;Assi, MakKuksu 907g;3,08;
0081652053156;Assi, Plum Extract 670g;8,32;
0081652080626;Assi, So Men 1.36Kg;5,51;
0081652081128;Assi, Udon Nudeln 1.81Kg;6,07;
0081652081159;Assi, Udon nudeln 907g;3,08;
0853558002411;Azuki Bar 6-Packs;8,22;
8801085068815;Ba-Ji-Rak KalGuksu 1EA ;2,71;
4718005881161;Baby Star Original 185g;4,95;
4718005881055;Babystar Tokotsu Ramen snack;1,68;
4718005881062;Babystar Wilde Ramen Snack;2,71;
4718005881048;Babystar Yakisoba ramen snack;1,68;
8801111922708;Bam Yamggang 50g;0,93;
8809087460132;BDG 12-sorted pulver 1Kg;6,45;
8801007616605;Beef Dashida 2.25Kg;24,21;
4901336108681;Befco Bakauke Aonori 100g;3,64;
4035458206465;Beni Shoga 200g;1,78;
8801392061899;Bibigo Kimchi 1Kg;12,06;
8801392061912;Bibigo Kimchi 500g ;7,38;
8801007997605;Bibigo Kimchi sliced 150g;2,06;
4016337912424;Bibigo Pork Mandu 600g;6,45;
8801007234601;Bibigo Samjang 500g;2,34;
8801007346496;Bibigo seaweed Flakes 50g;2,52;
0807176706428;Bibigo seaweed snack BBQ ;2,34;
0807176706107;bibigo seaweed snack sesam;2,34;
0807176706404;BiBigo Seaweed snacks Wasabi;2,34;
8801007121680;Bibigo suntofu 350g;2,34;
8801392037078;Bibigo Tobokki Cup;2,71;
8801007112497;Bibigo tofu firm 300g;2,71;
8801007112480;Bibigo Tofu soft 300g;2,71;
4016337912400;Bibigo, Galbi Mandu 525g;8,32;
4016337911199;Bibigo, Mandu Kimchi&Pork 525g;7,94;
8801007038780;Black Rice;1,87;
8801016325802;Bread Crumbs 1Kg;5,14;
8801007176352;BS Beef Galbi sauce 500g;3,93;
8801007176321;BS beef sauce 290;2,34;
8801007176369;BS beef sauce 500g;3,55;
8801007101408;BS Brown Sugar 1Kg;4,95;
0807176221013;BS Frying Mix 1Kg;3,83;
0807176709122;BS Hoduk Mix 400g;3,27;
8801007168777;BS Hunmi vinegar 900ml ;3,08;
8801007077369;BS Oligodang 700g;3,64;
8801007150390;BS pancake mix 1Kg;3,27;
8801007150406;BS pancake Mix 500g;2,06;
8801007648309;BS Panko 450g;2,62;
8801007303147;BS Plum  Süsse Zwetschgen 1,2kg;8,32;
8801007343884;BS Plum Chung 1.025Kg;8,69;
8801007176345;BS pork Galbi sauce 500g;3,55;
8801007012094;BS pork Galbi sauce 840g;4,58;
8801007176338;BS pork sauce 290g;2,06;
8801007176376;BS pork sauce 500g;3,55;
8801007012087;BS Pork sauce 840g;4,49;
8801007028729;BS salt fine 1Kg;3,08;
8801007140636;BS salt fine 250g;1,68;
8801007165011;BS salt fine 400g;4,21;
8801007217420;BS Somen 500g;2,34;
8801007205557;BS Somen 900g;4,21;
8801073116467;Buldak carbonara 1EA;1,87;
8801073211254;Buldak cheese Cup;2,34;
8801073211667;Buldak Cup S;2,34;
8801073140578;Buldak Multi 5-Packs;8,88;
0761898764343;Bull Ramen Cup L;2,34;
4902551012159;Bulldog Chuno Sauce 500ml;4,86;
4902551013156;Bulldog Tonkotsu Sauce 500ml ;4,86;
0087703150607;Bung-E-Pan 900g;8,69;
8801019602498;Burn potato chips;1,21;
8807780880875;Busan E-Muk 1Kg;9,25;
8809183070761;Busan E-muk 1Kg;9,25;
8809183070044;Busan E-muk 420g;4,58;
0087703012684;Buvkwheat Noodle 680g;3,64;
8801007009858;C&J CJ Hetbahn Cooked White Rice 3 Bowls;4,86;
4901340030145;Calpis L-Pack concentrated Calpis 1L;18,22;
8801062332113;Candy anytime xylitol;1,78;
8801566035077;Candy Citron ;1,5;
8801062009527;Candy green grape;2,62;
8801566034445;Candy green Tea ;1,5;
8801062013388;Candy Milk;2,15;
8801566020240;Candy nu-lung-gi;1,68;
8801566034353;Candy peppermint ;1,78;
8801062013395;Candy Strawberry ;2,15;
4978065013432;Cha Soba 250g;2,62;
0087703341401;Cha Soba 640g;4,58;
8801043157759;Cham-Pong Ramun 1EA;1,68;
4901530056078;Chikuwa Takebue 160g;3,27;
8801759001094;Chilgab Mando cover 310g;2,8;
8801043032285;Chimchi Cup L;1,96;
8802340112151;Chum Soju, w/citron ;3,64;
8809050580010;Chung-Guk-Jang 180g;2,34;
8801127120020;Chung-Su Bibim cold nudeln 720g;8,88;
8801127120013;ChungSu Mul coldnudeln 720g;10,19;
8809841061568;Chuross Zuckerwatte;0,93;
8801007216317;CJ blackrice 3EA;5,51;
0807176710548;CJ Foods Arroz Coreano Bibimbap Doenjang 280 grs;4,39;
8801007907734;CJ half radish 400g;3,27;
8801007054186;CJ Hatban 300g;2,43;
8801007684543;CJ Hatban mixed 210g;2,15;
8801007216294;CJ instant brown rice 3EA;5,51;
8801007310572;CJ instant rice 210g;1,68;
8801007363752;CJ sliced radish Pickle 320g;2,71;
8801007329307;CJ tofu 520g;5,14;
8801007150369;CJ, frying pulver 500g;2,34;
8801007052991;CJ, Samjang 1Kg;5,14;
8801052012452;CJW Beefbulgogi Sauce 500g;3,55;
8801052431284;CJW, apple vinegar double 500ml;1,59;
8801052435596;CJW, Cho-Gochujang 300g;2,34;
8801052435022;CJW, Gochujang 1Kg;7,38;
8801052801773;CJW, Gochujang 200g;2,15;
8801052435091;CJW, Gochujang 3Kg ;19,53;
8801052435015;CJW, Gochujang 500g;3,83;
8801052431048;CJW, Hunmi venegar 900ml;3,08;
8801052036113;CJW, JangJo Soy Sauce 840ml;3,55;
8801052135779;CJW, kochen sauce 410ml;2,99;
8801052436029;CJW, Miso 1Kg;4,86;
8801052436012;CJW, Miso 500g;2,52;
8801052774411;CJW, Nori 3EA ;2,24;
8801052733845;CJW, Oyster sauce 250g;3,27;
8801052901015;CJW, Rice Syrup 700g;3,93;
8801052734460;CJW, salt 280g;1,4;
8801052730479;CJW, Salt 5Kg for Kimchi ;21,5;
8801052730448;CJW, Salt for cooking 1Kg;4,67;
8801052730455;CJW, Salt for Kimchi 1Kg;4,58;
8801052730462;CJW, Salt for Kimchi 2.5Kg;11,21;
8801052438016;CJW, Samjang 500g;2,34;
8801052732343;CJW, Soup Soy Sauce 500ml;2,8;
8801052780313;CJW, Soy Sauce für Soup 1.7L;10,75;
8801052451022;CJW, Syrup 1,2Kg;4,02;
8801052451039;CJW, Syrup 2.45Kg;8,32;
8801052451046;CJW, Syrup 5Kg;15,89;
8801052451015;CJW, Syrup 700g;2,62;
8801052733104;CJW, Tonkotsu Sauce 400g;2,71;
